sequence,method,sp_raw,sp_norm,wsp_raw,wsp_norm
BB30010,MUSCLE,325377.0,0.32003650795000177,874.9508317991832,0.8506014243560671
BB30010,BAliBASE,320849.0,0.32003532786106526,734.2514805222683,0.8056681368603951
BB30009,ClustalW,25268.0,0.32002548682993603,65.52734444503056,0.8446883327585749
BB30009,MUSCLE,28039.0,0.32003540882212334,112.14579503018098,0.8937339743451843
BB30009,BAliBASE,23608.0,0.3200208216591379,88.55483143935191,0.7371603235524218
BBS30018,ClustalW,361085.0,0.3200138619399142,108.50035755089327,0.8238978915105383
BBS30018,MUSCLE,366909.0,0.32001443624369486,123.98786291549938,0.8509333623066015
BBS30018,BAliBASE,364587.0,0.320014174305392,113.95345968406174,0.8303383118799867
BB30014,ClustalW,50113.0,0.320022687947559,104.24599073018034,0.7662071358847357
BB30014,MUSCLE,52106.0,0.32002446512702326,141.06304429490572,0.8376315206647377
BB30014,BAliBASE,51717.0,0.32002414809218094,119.03614113679426,0.7590686139811518
BB30029,ClustalW,671861.0,0.3200061896635669,988.0464627454458,0.9445226117698229
BB30029,MUSCLE,708811.0,0.3200065456832892,1216.3256994302494,0.9783459859129403
BB30029,BAliBASE,680956.0,0.32000620203569197,1001.0258531142907,0.9342552222196835
BB30015,ClustalW,10270.0,0.320128862836679,132.1983396673222,0.9982391967715779
BB30015,MUSCLE,11605.0,0.3201816131076696,138.18710671494378,1.0065625879351408
BB30015,BAliBASE,10657.0,0.3201652665823865,141.9083227492052,0.9985771343654821
BB30017,ClustalW,5591.0,0.3200925457858571,66.25191011033233,0.6847329866481661
BB30017,MUSCLE,6352.0,0.3201519095341592,79.8400216679046,0.7315807549523429
BB30017,BAliBASE,5950.0,0.32012739706081095,72.73635139375263,0.6924215713606169
BBS30027,ClustalW,4638.0,0.32016607024713667,18.821736067613255,0.8470536989371475
BBS30027,MUSCLE,4812.0,0.32017526580471556,20.06920690636704,0.8526126338097282
BBS30027,BAliBASE,4530.0,0.32015428564027526,15.655256565231737,0.7986049248227491
BBS30017,ClustalW,4902.0,0.3201000062561495,43.99642241628165,0.709280230234045
BBS30017,MUSCLE,5585.0,0.3201613725975519,52.124129074165445,0.7503749158699466
BBS30017,BAliBASE,5410.0,0.3201445668627484,49.86023926549043,0.7272355444885694
BB30001,ClustalW,788155.0,0.3200033373979096,790.3342262010018,0.8927388991935273
BB30001,MUSCLE,841630.0,0.32000384505214,1047.3963653381418,0.9329722149490814
BB30001,BAliBASE,817506.0,0.32000356891035536,873.6914858720493,0.8646350915031538
BBS30026,ClustalW,240606.0,0.3200053266263718,236.89742079390047,0.710794305185556
BBS30026,MUSCLE,263953.0,0.3200068461858073,310.4302381978228,0.808547648455069
BBS30026,BAliBASE,257712.0,0.32000624822208806,232.43716002906018,0.726185844390962
BB30025,ClustalW,58545.0,0.3200062430842803,421.8545184969047,0.9329306026962538
BB30025,MUSCLE,63128.0,0.32000769801066925,763.218646797999,1.021327001122197
BB30025,BAliBASE,59931.0,0.32000640630583305,380.44687697573613,0.8880263413976667
